Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
A Kumble,26.5,9,74,10,2.79,4,Pakistan,Delhi,2/4/1999,India
AY Patel,47.833333333333336,12,119,10,2.48,1,India,Wankhede,12/3/2021,New Zealand
M Muralidaran,40,19,51,9,1.27,1,Zimbabwe,Kandy,1/4/2002,Sri Lanka
Sir RJ Hadlee,23.666666666666668,4,52,9,2.19,1,Australia,Brisbane,11/8/1985,New Zealand
Abdul Qadir,37,13,56,9,1.51,1,England,Lahore,11/25/1987,Pakistan
DE Malcolm,16.5,2,57,9,3.45,3,South Africa,The Oval,8/18/1994,England
M Muralidaran,54.333333333333336,27,65,9,1.19,3,England,The Oval,8/27/1998,Sri Lanka
HMRKB Herath,33.166666666666664,3,127,9,3.82,2,Pakistan,Colombo (SSC),8/14/2014,Sri Lanka
KA Maharaj,41.16666666666666,10,129,9,3.13,1,Sri Lanka,Colombo (SSC),7/20/2018,South Africa
SCJ Broad,9.5,5,15,8,1.57,1,Australia,Nottingham,8/6/2015,England
GD McGrath,16,8,24,8,1.5,4,Pakistan,Perth,12/16/2004,Australia
GD McGrath,20.5,8,38,8,1.85,1,England,Lord's,6/19/1997,Australia
Taijul Islam,16.833333333333332,7,39,8,2.31,3,Zimbabwe,Mirpur,10/25/2014,Bangladesh
Yasir Shah,12.5,1,41,8,3.28,2,New Zealand,Dubai (DSC),11/24/2018,Pakistan
Sajid Khan,15,4,42,8,2.8,2,Bangladesh,Mirpur,12/4/2021,Pakistan
CEL Ambrose,22.666666666666668,10,45,8,1.98,4,England,Bridgetown,4/5/1990,West Indies
M Muralidaran,16.333333333333332,4,46,8,2.81,4,West Indies,Kandy,7/22/2005,Sri Lanka
D Bishoo,13.833333333333334,1,49,8,3.54,3,Pakistan,Dubai (DSC),10/13/2016,West Indies
NM Lyon,22.33333333333333,4,50,8,2.23,1,India,Bengaluru,3/4/2017,Australia
ARC Fraser,16.166666666666668,2,53,8,3.27,2,West Indies,Port of Spain,2/5/1998,England
RL Chase,21.666666666666668,2,60,8,2.76,4,England,Bridgetown,1/23/2019,West Indies
ND Hirwani,18.5,3,61,8,3.29,2,West Indies,Chennai,1/11/1988,India
MG Johnson,24,4,61,8,2.54,2,South Africa,Perth,12/17/2008,Australia
ST Gabriel,20.666666666666668,6,62,8,3,3,Sri Lanka,Gros Islet,6/14/2018,West Indies
HMRKB Herath,23,6,63,8,2.73,4,Zimbabwe,Harare,11/6/2016,Sri Lanka
L Klusener,21.5,4,64,8,2.97,4,India,Eden Gardens,11/27/1996,South Africa
M Muralidaran,30,10,70,8,2.33,4,England,Nottingham,6/2/2006,Sri Lanka
SK Warne,50.333333333333336,22,71,8,1.41,4,England,Brisbane,11/25/1994,Australia
AA Donald,33,12,71,8,2.15,3,Zimbabwe,Harare,10/13/1995,South Africa
ND Hirwani,15.333333333333334,3,75,8,4.89,4,West Indies,Chennai,1/11/1988,India
ARC Fraser,28.83333333333333,7,75,8,2.6,2,West Indies,Bridgetown,4/8/1994,England
JR Ratnayeke,23.33333333333333,5,83,8,3.55,2,Pakistan,Sialkot,10/27/1985,Sri Lanka
Harbhajan Singh,41.833333333333336,20,84,8,2,3,Australia,Chennai,3/18/2001,India
J Srinath,27,6,86,8,3.18,3,Pakistan,Eden Gardens,2/16/1999,India
MG Hughes,37,9,87,8,2.35,3,West Indies,Perth,12/2/1988,Australia
M Muralidaran,34.166666666666664,9,87,8,2.54,1,India,Colombo (SSC),8/29/2001,Sri Lanka
CJ McDermott,24.666666666666668,2,97,8,3.93,1,England,Perth,2/1/1991,Australia
N Kapil Dev,38,6,106,8,2.78,1,Australia,Adelaide,12/13/1985,India
NA Foster,46.333333333333336,15,107,8,2.3,2,Pakistan,Leeds,7/2/1987,England
SCG MacGill,33.5,2,108,8,3.22,1,Bangladesh,Fatullah,4/9/2006,Australia
PA Strang,51.833333333333336,12,109,8,2.1,2,New Zealand,Bulawayo,9/12/2000,Zimbabwe
CJ McDermott,36,3,141,8,3.91,2,England,Manchester,8/1/1985,Australia
A Kumble,46.833333333333336,7,141,8,3.01,2,Australia,Sydney,1/2/2004,India
Saqlain Mushtaq,74,20,164,8,2.21,1,England,Lahore,11/15/2000,Pakistan
JJ Krejza,43.833333333333336,1,215,8,4.9,1,India,Nagpur,11/6/2008,Australia
SJ Harmison,12.5,8,12,7,0.96,3,West Indies,Kingston,3/11/2004,England
MD Marshall,15.666666666666666,5,22,7,1.4,3,England,Manchester,6/30/1988,West Indies
SK Warne,16.166666666666668,9,23,7,1.42,2,Pakistan,Brisbane,11/9/1995,Australia
CEL Ambrose,18,9,25,7,1.38,1,Australia,Perth,1/30/1993,West Indies
Maninder Singh,18.33333333333333,8,27,7,1.47,1,Pakistan,Bengaluru,3/13/1987,India
MR Whitney,12.166666666666666,3,27,7,2.21,4,India,Perth,2/1/1992,Australia
CL Cairns,22.83333333333333,10,27,7,1.18,3,West Indies,Hamilton,12/16/1999,New Zealand
KJ Abbott,11.666666666666666,4,29,7,2.48,2,Pakistan,Centurion,2/22/2013,South Africa
MS Kasprowicz,15.833333333333334,5,36,7,2.27,3,England,The Oval,8/21/1997,Australia
Shakib Al Hasan,25.83333333333333,7,36,7,1.39,2,New Zealand,Chattogram,10/17/2008,Bangladesh
CA Walsh,20.666666666666668,7,37,7,1.79,2,New Zealand,Wellington,2/10/1995,West Indies
JN Gillespie,13.666666666666666,1,37,7,2.7,1,England,Leeds,7/24/1997,Australia
M Ntini,19.83333333333333,7,37,7,1.86,3,West Indies,Port of Spain,4/8/2005,South Africa
MS Kasprowicz,17.666666666666668,3,39,7,2.2,4,Sri Lanka,Darwin,7/1/2004,Australia
N Wagner,14.666666666666666,2,39,7,2.65,1,West Indies,Wellington,12/1/2017,New Zealand
Imran Khan,19.166666666666668,5,40,7,2.08,3,England,Leeds,7/2/1987,Pakistan
MG Johnson,17.333333333333332,8,40,7,2.3,2,England,Adelaide,12/5/2013,Australia
JM Anderson,20.166666666666668,5,42,7,2.08,3,West Indies,Lord's,9/7/2017,England
DG Cork,19.5,5,43,7,2.2,4,West Indies,Lord's,6/22/1995,England
JM Anderson,21.5,8,43,7,2,2,New Zealand,Nottingham,6/5/2008,England
SCJ Broad,11,0,44,7,4,4,New Zealand,Lord's,5/16/2013,England
AR Border,26,10,46,7,1.76,1,West Indies,Sydney,1/26/1989,Australia
AR Caddick,16,5,46,7,2.87,2,South Africa,Durban,12/26/1999,England
M Muralidaran,31.666666666666668,15,46,7,1.45,2,England,Galle,12/2/2003,Sri Lanka
PCR Tufnell,46.16666666666666,25,47,7,1.01,3,New Zealand,Christchurch,1/18/1992,England
RJ Sidebottom,21.666666666666668,6,47,7,2.16,2,New Zealand,Napier,3/22/2008,England
Harbhajan Singh,28.5,12,48,7,1.68,3,West Indies,Wankhede,10/9/2002,India
A Kumble,17.5,4,48,7,2.74,1,Australia,Chennai,10/14/2004,India
HMRKB Herath,21,6,48,7,2.28,4,India,Galle,8/12/2015,Sri Lanka
RA Jadeja,25,5,48,7,1.92,3,England,Chennai,12/16/2016,India
SCG MacGill,20.166666666666668,4,50,7,2.47,4,England,Sydney,1/2/1999,Australia
Maninder Singh,17.666666666666668,4,51,7,2.88,3,Sri Lanka,Nagpur,12/27/1986,India
BA Reid,22,12,51,7,2.31,3,England,Melbourne,12/26/1990,Australia
DW Steyn,16.666666666666668,6,51,7,3.06,2,India,Nagpur,2/6/2010,South Africa
C Pringle,16,4,52,7,3.25,1,Pakistan,Faisalabad,10/26/1990,New Zealand
SK Warne,23.33333333333333,8,52,7,2.22,4,West Indies,Melbourne,12/26/1992,Australia
CL Cairns,18.33333333333333,2,53,7,2.89,3,Bangladesh,Hamilton,12/18/2001,New Zealand
Saeed Ajmal,24.5,7,55,7,2.24,1,England,Dubai (DSC),1/17/2012,Pakistan
SK Warne,27,8,56,7,2.07,1,South Africa,Sydney,1/2/1994,Australia
Mushtaq Ahmed,34.666666666666664,13,56,7,1.61,4,New Zealand,Christchurch,12/8/1995,Pakistan
CD Collymore,16,2,57,7,3.56,3,Sri Lanka,Kingston,6/27/2003,West Indies
Mehidy Hasan Miraz,16,1,58,7,3.62,2,West Indies,Mirpur,11/30/2018,Bangladesh
A Kumble,27.5,9,59,7,2.14,3,Sri Lanka,Lucknow,1/18/1994,India
IK Pathan,15.333333333333334,4,59,7,3.84,1,Zimbabwe,Harare,9/20/2005,India
R Ashwin,13.833333333333334,2,59,7,4.26,4,New Zealand,Indore,10/8/2016,India
MJ Hoggard,18.5,5,61,7,3.29,4,South Africa,Johannesburg,1/13/2005,England
Harbhajan Singh,22.33333333333333,3,62,7,2.77,2,Sri Lanka,Ahmedabad,12/18/2005,India
MJ Hoggard,21.33333333333333,7,63,7,2.95,2,New Zealand,Christchurch,3/13/2002,England
A Kumble,38,16,63,7,1.65,4,Pakistan,Eden Gardens,3/16/2005,India
TG Southee,24,6,64,7,2.66,2,India,Bengaluru,8/31/2012,New Zealand
HMRKB Herath,18.166666666666668,3,64,7,3.52,4,Australia,Colombo (SSC),8/13/2016,Sri Lanka
SB Doull,24,7,65,7,2.7,1,India,Wellington,12/26/1998,New Zealand
Mohammad Zahid,20,3,66,7,3.3,3,New Zealand,Rawalpindi,11/28/1996,Pakistan
PCR Tufnell,34.5,16,66,7,1.91,2,Australia,The Oval,8/21/1997,England
Saqlain Mushtaq,25.83333333333333,2,66,7,2.55,1,Zimbabwe,Bulawayo,11/16/2002,Pakistan
DJG Sammy,21.5,2,66,7,3.06,3,England,Manchester,6/7/2007,West Indies
R Ashwin,29.83333333333333,7,66,7,2.21,4,South Africa,Nagpur,11/25/2015,India
MG Johnson,17.166666666666668,1,68,7,3.96,2,South Africa,Centurion,2/12/2014,Australia
PAJ DeFreitas,26,8,70,7,2.69,2,Sri Lanka,Lord's,8/22/1991,England
WPUJC Vaas,25,3,71,7,2.84,3,West Indies,Colombo (SSC),11/29/2001,Sri Lanka
SCJ Broad,24.83333333333333,6,72,7,2.89,1,West Indies,Lord's,5/17/2012,England
I Sharma,23,6,74,7,3.21,4,England,Lord's,7/17/2014,India
RRS Cornwall,25.5,5,75,7,2.94,1,Afghanistan,Lucknow,11/27/2019,West Indies
Waqar Younis,30.33333333333333,13,76,7,2.5,2,New Zealand,Faisalabad,10/26/1990,Pakistan
GD McGrath,21,4,76,7,3.61,1,England,The Oval,8/21/1997,Australia
GD McGrath,30.33333333333333,9,76,7,2.5,2,England,Leeds,8/16/2001,Australia
Yasir Shah,30.166666666666668,6,76,7,2.51,3,Sri Lanka,Galle,6/17/2015,Pakistan
Danish Kaneria,19.666666666666668,4,77,7,3.91,3,Bangladesh,Dhaka,1/9/2002,Pakistan
JE Emburey,46,15,78,7,1.69,3,Australia,Sydney,1/10/1987,England
JJC Lawson,19.166666666666668,3,78,7,4.06,1,Australia,St John's,5/9/2003,West Indies
CD Collymore,27.5,5,78,7,2.83,1,Pakistan,Kingston,6/3/2005,West Indies
MD Marshall,25.5,6,80,7,3.13,3,New Zealand,Bridgetown,4/26/1985,West Indies
Imran Khan,22.666666666666668,2,80,7,3.52,1,West Indies,Georgetown,4/2/1988,Pakistan
M de Lange,23.33333333333333,3,81,7,3.47,1,Sri Lanka,Durban,12/26/2011,South Africa
R Ashwin,25,8,83,7,3.32,3,West Indies,North Sound,7/21/2016,India
AA Donald,28,4,84,7,3,3,India,Gqeberha,12/26/1992,South Africa
FA Rose,28,6,84,7,3,2,South Africa,Durban,12/26/1998,West Indies
M Muralidaran,35,5,84,7,2.4,3,South Africa,Galle,7/20/2000,Sri Lanka
Waqar Younis,37.833333333333336,11,86,7,2.27,3,New Zealand,Lahore,10/18/1990,Pakistan
SM Pollock,41,11,87,7,2.12,2,Australia,Adelaide,1/30/1998,South Africa
DL Vettori,35,11,87,7,2.48,3,Australia,Auckland,3/11/2000,New Zealand
Harbhajan Singh,30,3,87,7,2.9,3,South Africa,Eden Gardens,11/28/2004,India
FH Edwards,29.666666666666668,6,87,7,2.93,2,New Zealand,Napier,12/19/2008,West Indies
Z Khan,20.5,2,87,7,4.24,3,Bangladesh,Mirpur,1/24/2010,India
MR Whitney,30,6,89,7,2.96,2,West Indies,Adelaide,2/3/1989,Australia
DK Morrison,26.666666666666668,5,89,7,3.33,2,Australia,Wellington,3/4/1993,New Zealand
HMRKB Herath,36,9,89,7,2.47,3,Bangladesh,Colombo (RPS),3/16/2013,Sri Lanka
Waqar Younis,34.166666666666664,8,91,7,2.66,2,Zimbabwe,Karachi,12/1/1993,Pakistan
M Muralidaran,42.833333333333336,13,94,7,2.19,3,Zimbabwe,Kandy,1/7/1998,Sri Lanka
SK Warne,24.5,7,94,7,3.83,2,Pakistan,Colombo (PSS),10/3/2002,Australia
AR Caddick,22,5,94,7,4.27,4,Australia,Sydney,1/2/2003,England
NM Lyon,23.33333333333333,4,94,7,4.02,2,India,Delhi,3/22/2013,Australia
MD Craig,27.666666666666668,5,94,7,3.39,1,Pakistan,Sharjah,11/26/2014,New Zealand
Yasir Shah,39.833333333333336,12,94,7,2.35,3,West Indies,Bridgetown,4/30/2017,Pakistan
NM Lyon,36.333333333333336,7,94,7,2.58,1,Bangladesh,Chattogram,9/4/2017,Australia
Enamul Haque jnr,36,9,95,7,2.63,1,Zimbabwe,Dhaka,1/14/2005,Bangladesh
Saeed Ajmal,32.5,4,95,7,2.92,2,Zimbabwe,Harare,9/3/2013,Pakistan
Abdul Qadir,44.66666666666666,15,96,7,2.14,2,England,The Oval,8/6/1987,Pakistan
M Muralidaran,46.833333333333336,12,97,7,2.07,3,South Africa,Colombo (PSS),8/4/2006,Sri Lanka
M Muralidaran,38.66666666666666,8,100,7,2.58,1,India,Delhi,12/10/2005,Sri Lanka
R Ashwin,42,12,103,7,2.45,1,Australia,Chennai,2/22/2013,India
SCG MacGill,37,11,104,7,2.81,1,West Indies,Sydney,1/2/2001,Australia
MJ Hoggard,42,6,109,7,2.59,2,Australia,Adelaide,12/1/2006,England
K Rabada,29,6,112,7,3.86,2,England,Centurion,1/22/2016,South Africa
Sikandar Raza,43,8,113,7,2.62,2,Sri Lanka,Harare,1/27/2020,Zimbabwe
A Kumble,51,13,115,7,2.25,1,England,Ahmedabad,12/11/2001,India
Sir RJ Hadlee,44.66666666666666,8,116,7,2.59,1,Australia,Christchurch,2/28/1986,New Zealand
KR Pushpakumara,35.666666666666664,7,116,7,3.25,2,Zimbabwe,Harare,10/26/1994,Sri Lanka
Taijul Islam,44.66666666666666,9,116,7,2.59,2,Pakistan,Chattogram,11/26/2021,Bangladesh
RJ Harris,28,2,117,7,4.17,3,England,Chester-le-Street,8/9/2013,Australia
Danish Kaneria,60,20,118,7,1.96,3,Sri Lanka,Karachi,10/28/2004,Pakistan
Wasim Akram,37,7,119,7,3.21,3,New Zealand,Wellington,2/17/1994,Pakistan
WPUJC Vaas,32.333333333333336,5,120,7,3.71,1,West Indies,Colombo (SSC),11/29/2001,Sri Lanka
Harbhajan Singh,38,1,120,7,3.15,3,South Africa,Cape Town,1/2/2011,India
Harbhajan Singh,37.833333333333336,7,123,7,3.25,1,Australia,Eden Gardens,3/11/2001,India
PR Adams,45,11,128,7,2.84,2,Pakistan,Lahore,10/17/2003,South Africa
DL Vettori,42.5,6,130,7,3.05,3,Sri Lanka,Wellington,12/15/2006,New Zealand
Harbhajan Singh,38.333333333333336,6,133,7,3.46,1,Australia,Chennai,3/18/2001,India
L Embuldeniya,42,6,137,7,3.26,2,England,Galle,1/22/2021,Sri Lanka
Rashid Khan,62.833333333333336,17,137,7,2.18,3,Zimbabwe,Abu Dhabi,3/10/2021,Afghanistan
R Ashwin,46.333333333333336,11,145,7,3.12,2,South Africa,Visakhapatnam,10/2/2019,India
NM Lyon,34.166666666666664,5,152,7,4.44,4,India,Adelaide,12/9/2014,Australia
M Muralidaran,59.5,14,155,7,2.6,1,England,The Oval,8/27/1998,Sri Lanka
HMRKB Herath,52,11,157,7,3.01,3,Australia,Colombo (SSC),9/16/2011,Sri Lanka
SK Warne,44.333333333333336,7,165,7,3.72,2,England,The Oval,8/23/2001,Australia
Danish Kaneria,53,10,168,7,3.16,2,New Zealand,Napier,12/11/2009,Pakistan
Danish Kaneria,49.5,7,188,7,3.79,2,Australia,Sydney,1/2/2005,Pakistan
JJC Lawson,6.833333333333333,4,3,6,0.43,3,Bangladesh,Dhaka,12/8/2002,West Indies
DW Steyn,8.166666666666666,6,8,6,0.97,2,Pakistan,Johannesburg,2/1/2013,South Africa
MJ Clarke,6.333333333333333,0,9,6,1.42,3,India,Wankhede,11/3/2004,Australia
Shoaib Akhtar,8.333333333333334,4,11,6,1.32,2,New Zealand,Lahore,5/1/2002,Pakistan
SLV Raju,17.833333333333332,13,12,6,0.67,2,Sri Lanka,Chandigarh,11/23/1990,India
Abdul Qadir,9.5,1,16,6,1.68,4,West Indies,Faisalabad,10/24/1986,Pakistan
GD McGrath,20,12,17,6,0.85,1,West Indies,Brisbane,11/23/2000,Australia
JM Anderson,15,8,17,6,1.13,4,Pakistan,Nottingham,7/29/2010,England
SCJ Broad,12.166666666666666,6,17,6,1.39,3,South Africa,Johannesburg,1/14/2016,England
CR Woakes,7.666666666666667,2,17,6,2.21,4,Ireland,Lord's,7/24/2019,England
CA Walsh,15.333333333333334,8,18,6,1.17,3,New Zealand,Wellington,2/10/1995,West Indies
M Muralidaran,10.666666666666666,4,18,6,1.68,3,Bangladesh,Colombo (RPS),9/12/2005,Sri Lanka
SJ Harmison,13,7,19,6,1.46,1,Pakistan,Manchester,7/27/2006,England
J Srinath,11.833333333333334,4,21,6,1.77,4,South Africa,Ahmedabad,11/20/1996,India
VD Philander,13,5,21,6,1.61,4,Australia,Johannesburg,3/30/2018,South Africa
WPUJC Vaas,15,6,22,6,1.46,2,West Indies,Kandy,7/22/2005,Sri Lanka
BA Stokes,14.5,6,22,6,1.51,1,West Indies,Lord's,9/7/2017,England
PS de Villiers,11.833333333333334,5,23,6,1.94,2,Pakistan,Gqeberha,3/6/1998,South Africa
M Morkel,16.666666666666668,7,23,6,1.38,4,New Zealand,Wellington,3/23/2012,South Africa
PJ Cummins,15,8,23,6,1.53,3,Sri Lanka,Brisbane,1/24/2019,Australia
